"","follower_count","following_count","account_language","tweet_client_name","is_retweet","reply_count","like_count","retweet_count","numcaracter","account_creation_year","account_creation_month","tweet_hour"
"9201",125,202,1,1,2,0,0,0,118,2014,5,1
"9202",8685,1451,1,4,2,0,0,0,115,2015,1,5
"9203",19845,808,1,5,1,0,0,0,130,2015,11,14
"9204",1538,93,1,9,2,0,0,0,146,2013,6,23
"9205",8685,1451,1,4,2,0,0,0,78,2015,1,22
"9206",8685,1451,1,4,2,0,0,0,142,2015,1,18
"9207",3051,271,1,2,1,0,0,0,304,2017,12,6
"9208",3051,271,1,2,1,0,0,0,89,2017,12,7
"9209",8685,1451,1,4,2,0,0,0,145,2015,1,3
"9210",3051,271,1,2,2,0,0,0,80,2017,12,16
"9211",3051,271,1,2,1,0,0,0,38,2017,12,21
"9212",38,3,1,1,1,0,0,0,19,2015,10,19
"9213",8685,1451,1,4,2,0,0,0,135,2015,1,8
"9214",3051,271,1,2,2,0,0,0,142,2017,12,7
"9215",1538,93,1,1,2,0,0,0,82,2013,6,17
"9216",8685,1451,1,4,2,0,0,0,146,2015,1,23
"9217",4989,4418,1,4,2,0,0,0,146,2015,8,18
"9218",7566,4526,1,4,2,0,0,0,142,2017,3,18
"9219",7566,4526,1,4,2,0,0,0,157,2017,3,7
"9220",7566,4526,1,4,2,0,0,0,59,2017,3,7
"9221",1538,93,1,1,1,0,0,0,99,2013,6,2
"9222",3051,271,1,6,2,0,0,0,166,2017,12,6
"9223",8685,1451,1,4,2,0,0,0,146,2015,1,23
"9224",8685,1451,1,4,2,0,0,0,142,2015,1,18
"9225",8685,1451,1,4,2,0,0,0,116,2015,1,9
"9226",7566,4526,1,4,2,0,0,0,185,2017,3,14
"9227",19845,808,1,5,1,0,0,0,142,2015,11,14
"9228",8685,1451,1,4,2,0,0,0,76,2015,1,3
"9229",3051,271,1,1,2,0,0,0,122,2017,12,3
"9230",7566,4526,1,4,2,0,0,0,95,2017,3,17
"9231",40,477,1,1,2,0,0,0,38,2017,12,10
"9232",3051,271,1,2,2,0,0,0,142,2017,12,16
"9233",3051,271,1,1,1,0,0,0,52,2017,12,6
"9234",122,182,1,1,1,0,0,0,130,2014,6,14
"9235",7566,4526,1,4,2,0,0,0,146,2017,3,3
"9236",8685,1451,1,4,1,0,0,0,66,2015,1,16
"9237",8685,1451,1,4,2,0,0,0,146,2015,1,6
"9238",8685,1451,1,4,2,0,0,0,142,2015,1,21
"9239",3051,271,1,2,2,0,0,0,132,2017,12,3
"9240",105,95,1,10,2,0,0,0,66,2015,3,18
"9241",8685,1451,1,4,2,0,0,0,142,2015,1,0
"9242",136,313,1,1,2,0,0,0,160,2014,5,1
"9243",8685,1451,1,4,2,0,0,0,142,2015,1,6
"9244",3051,271,1,2,2,0,0,0,107,2017,12,23
"9245",8685,1451,1,4,2,0,0,0,37,2015,1,5
"9246",3051,271,1,2,2,0,0,0,110,2017,12,8
"9247",1538,93,1,11,2,0,0,0,142,2013,6,9
"9248",3051,271,1,2,1,0,0,0,87,2017,12,3
